rule,good,bad,total,bad_rate,lift,depth
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType>177.0 & CpnyEcoType>195.0 & PsonPayBase<=6071.0 & CpnyIndustry>13.5 & PsonAcBalPreY>399.5725 & LoanBal<=94333.0352 & CpnyMoPayAmt>464.8,38.0,12.0,50.0,0.24,3.4820457018498367,9
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType>115.0 & CpnyIndustry>13.5 & PsonPayBase>1194.5 & LoanBal<=130350.9062 & CpnyMoPayAmt<=597.45 & LoanAmt>129987.0 & PsonAcBalPreY<=5388.99,38.0,12.0,50.0,0.24,3.4820457018498367,10
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt<=747.44 & LoanAmt<=316487.0 & CpnyEcoType<=182.5 & CpnyMoPayAmt>666.08 & BirthDate>380001600.0 & LoanBal<=141410.0859 & BirthDate<=474696000.0,45.0,14.0,59.0,0.23728813559322035,3.4427005526763925,9
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType<=145.5 & LoanAmt<=337737.0 & BirthDate>237873600.0 & CpnyIndustry>17.5 & BirthDate<=508780800.0 & LoanBal>133326.3438 & ID>18199.5,52.0,16.0,68.0,0.23529411764705882,3.4137702959312124,10
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType<=145.5 & LoanAmt<=337737.0 & BirthDate<=237873600.0 & PsonPayBase<=9127.25 & LoanAmt<=199987.0 & LoanBal<=53429.6934 & PsonAcBalPreY>17707.2051,63.0,18.0,81.0,0.2222222222222222,3.2241163906017007,10
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType>145.5 & CpnyEcoType>245.0 & CpnyMoPayAmt<=1337.55 & PsonAcBalCurY>978.285 & BirthDate<=285307200.0 & LoanAmt<=167737.0,45.0,12.0,57.0,0.21052631578947367,3.0544260542542427,9
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType<=115.0 & LoanBal<=111236.2852 & CpnyIndustry>4.5 & CpnyIndustry>12.5 & LoanBal<=61483.5176 & PsonMoPayAmt<=773.67,40.0,10.0,50.0,0.2,2.901704751541531,9
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType>115.0 & CpnyIndustry>13.5 & PsonPayBase<=1194.5 & BirthDate<=619239616.0 & PsonAcBalPreY<=11624.5498 & LoanBal>91532.9922 & CpnyMoPayAmt>299.075,80.0,20.0,100.0,0.2,2.901704751541531,10
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType>177.0 & CpnyEcoType>195.0 & PsonPayBase<=6071.0 & CpnyIndustry>13.5 & PsonAcBalPreY<=399.5725,55.0,13.0,68.0,0.19117647058823528,2.77368836544411,7
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType<=177.0 & CpnyEcoType>115.0 & CpnyIndustry>13.5 & PsonPayBase>1194.5 & LoanBal<=130350.9062 & CpnyMoPayAmt>597.45 & PsonPayBase>6926.25 & PsonPayBase<=9202.0,46.0,10.0,56.0,0.17857142857142858,2.5908078138763666,10
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType<=145.5 & LoanAmt<=337737.0 & BirthDate<=237873600.0 & PsonPayBase<=9127.25 & LoanAmt>199987.0 & LoanBal>118851.3633 & PsonAcBal>9654.3999,133.0,28.0,161.0,0.17391304347826086,2.5232215230795916,10
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt<=747.44 & LoanAmt<=316487.0 & CpnyEcoType>182.5 & CpnyEcoType>245.0 & PsonPayBase>1213.0 & BirthDate<=477244800.0 & CpnyIndustry<=17.5 & PsonMoPayAmt>496.29,111.0,23.0,134.0,0.17164179104477612,2.490269003188627,10
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt<=747.44 & LoanAmt<=316487.0 & CpnyEcoType<=182.5 & CpnyMoPayAmt<=666.08 & CpnyIndustry>17.5 & PsonPayBase>2252.25 & PsonAcBalCurY>4112.3,53.0,10.0,63.0,0.15873015873015872,2.3029402790012146,9
